Page — URL mesuree, telle que servie par le serveur de dev (localhost:3210)	Type — page statique | index de catalogue | fiche de detail | admin	Locale — en ou fr	HTTP — code de reponse de la navigation	M1 Rendu — la page rend-elle sans erreur console, sans pageerror, sans divergence d'hydratation ?	M2 Donnees — les chiffres et listes affiches correspondent-ils au reel mesure (versions, comptes, catalogues) ?	M3 Liens — les liens internes resolvent-ils (pas de 404/500, pas d ancre morte) ?	M4 i18n — parite en/fr, aucune cle brute affichee, aucune chaine non traduite visible	M5 a11y — axe-core 4.13 : violations serious/critical (devtools Nuxt exclus du contexte)	M6 Visuel — elements a taille nulle, debordement horizontal de page, ombre sur surface transparente	M7 Theming — le theme actif est-il respecte, une prop de theme est-elle ignoree en silence ?	M8 SEO — title, description, og:*, canonical, h1 unique	Gravite — gravite du pire defaut de la ligne	Preuve — mesure brute qui fonde chaque verdict
/composables/use-css-support	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 32 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:32 image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 21 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useCssSupport · origam composables · origam"
/composables/use-cell	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 14 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:14 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 20 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useCell · origam composables · origam"
/composables/use-form	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 26 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:26 image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 34 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useForm · origam composables · origam"
/composables/use-icon	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 20 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:20 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 21 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useIcon · origam composables · origam"
/composables/use-inline-edit	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 31 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:31 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 38 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useInlineEdit · origam composables · origam"
/consts/delay-ripple	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 18 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "DELAY_RIPPLE · origam constants · origam"
/consts/audio-analyser-fft-size	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 14 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "AUDIO_ANALYSER_FFT_SIZE · origam constants · origam"
/consts/quote-marks-by-lang	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 16 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "QUOTE_MARKS_BY_LANG · origam constants · origam"
/consts/default-document	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 19 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "DEFAULT_DOCUMENT · origam constants · origam"
/consts/adjacent-emit-replacement	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 14 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "ADJACENT_EMIT_REPLACEMENT · origam constants · origam"
/consts/calendar-days-per-week	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 14 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "CALENDAR_DAYS_PER_WEEK · origam constants · origam"
/consts/chart-animation-duration-default	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 14 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "CHART_ANIMATION_DURATION_DEFAULT · origam constants · origam"
/consts/world-geographic-data	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	bloquant	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: debordement horizontal de page 4581px (scrollWidth > clientWidth) | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "WORLD_GEOGRAPHIC_DATA · origam constants · origam"
/consts/country-centroids	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 16 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "COUNTRY_CENTROIDS · origam constants · origam"
/consts/supported-langs	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 19 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "SUPPORTED_LANGS · origam constants · origam"
/consts/cielab-forward-transform	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 18 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "CIELAB_FORWARD_TRANSFORM · origam constants · origam"
/consts/rco	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "RCO · origam constants · origam"
/directives/click-outside	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 21 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:21 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 22 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "v-click-outside · origam directives · origam"
/enums/parallax-direction	fiche de detail	en	200	defaut	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M1: 3 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "PARALLAX_DIRECTION · origam API enums · origam"
/enums/transition-mode	fiche de detail	en	200	defaut	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M1: 11 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 25 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "TRANSITION_MODE · origam API enums · origam"
/enums/audio-loop-mode	fiche de detail	en	200	defaut	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M1: 3 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "AUDIO_LOOP_MODE · origam API enums · origam"
/enums/open-strategy	fiche de detail	en	200	defaut	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M1: 5 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 19 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "OPEN_STRATEGY · origam API enums · origam"
/enums/bracket-round-side	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 13 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "BRACKET_ROUND_SIDE · origam API enums · origam"
/enums/calendar-navigate	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 13 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "CALENDAR_NAVIGATE · origam API enums · origam"
/enums/chart-cartesian-kind	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 14 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "CHART_CARTESIAN_KIND · origam API enums · origam"
/enums/code-lang	fiche de detail	en	200	defaut	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M1: 3 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "CODE_LANG · origam API enums · origam"
/enums/color-modes-names	fiche de detail	en	200	defaut	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M1: 3 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "COLOR_MODES_NAMES · origam API enums · origam"
/enums/bg-fg-role	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 13 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "BG_FG_ROLE · origam API enums · origam"
/enums/bracket-match-status	fiche de detail	en	200	defaut	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M1: 7 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 21 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "BRACKET_MATCH_STATUS · origam API enums · origam"
/enums/data-list-mode	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 13 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "DATA_LIST_MODE · origam API enums · origam"
/interfaces/i-contrast-options	fiche de detail	en	200	defaut	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M1: 3 avertissement(s) d'hydratation | M3: 3 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) ; /composables/use-contrast (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "IContrastOptions · origam API interfaces · origam"
/interfaces/i-clipboard-emits	fiche de detail	en	200	defaut	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M1: 3 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "IClipboardEmits · origam API interfaces · origam"
/interfaces/i-alert-slots	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 14 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "IAlertSlots · origam API interfaces · origam"
/interfaces/i-transition-component-props	fiche de detail	en	200	defaut	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M1: 7 avertissement(s) d'hydratation | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:1 image-redundant-alt:minor:1 scrollable-region-focusable:serious:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 21 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "ITransitionComponentProps · origam API interfaces · origam"
/interfaces/i-app-bar-slots	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 13 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "IAppBarSlots · origam API interfaces · origam"
/interfaces/i-audio-waveform-props	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 14 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "IAudioWaveformProps · origam API interfaces · origam"
/interfaces/i-avatar-group-slots	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 noeud(s) serious/critical (dont 0 critical) — image-redundant-alt:minor:1 scrollable-region-focusable:serious:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 13 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "IAvatarGroupSlots · origam API interfaces · origam"
/interfaces/i-badge-emits	fiche de detail	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 15 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "IBadgeEmits · origam API interfaces · origam"
/interfaces/i-delay-props	fiche de detail	en	200	defaut	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M1: 7 avertissement(s) d'hydratation | M3: 3 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) ; /composables/activator (404) | M5: 6 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:6 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 21 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "IDelayProps · origam API interfaces · origam"
/interfaces/i-ripple-html-element-ripple	fiche de detail	en	200	defaut	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M1: 3 avertissement(s) d'hydratation | M3: 3 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) ; /composables/use-ripple (404) | M5: 2 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 17 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "IRippleHtmlElementRipple · origam API interfaces · origam"
