"Composant Nom du composant tel qu'il est exporte par le DS | LECON TRANSVERSALE (ligne OrigamSection retiree le 2026-08-26 ; verdict bloquant pose le 2026-08-21 par scribe-tableau-2 ; ticket #453) : composant EXPORTE dans le package npm alors qu'il etait un stub vide - <div> sans aucun <slot/>, zero props, zero defineSlots. Le .md etait honnete (bandeau WIP explicite) ; la story ne l'etait PAS : ses Variants Default et Slots - Default passaient du contenu enfant que le composant ne pouvait pas afficher, donc une boite vide alors que le control Content pretendait agir dessus. A retenir : une story qui expose un control sans effet ment plus fort qu'une doc absente, et un verdict bloquant inscrit ici ne vaut que s'il ressort en ticket.",Famille Dossier de la famille dans components/ — une famille se deplace d'un bloc,Composants dans la famille Nombre de composants dans la famille — indique le poids de l'inspection,C1 Rendu distinct Chaque valeur de prop produit-elle un rendu DISTINCT ? Pas la classe emise : la regle SCSS existe-t-elle et le style calcule change-t-il ?,"C2 Canal du theme Le canal du theme est-il intact ? Aucune valeur en dur (px, couleur) n'ecrase un token --origam-xxx---*",C3 Reactivite Changer la prop APRES le montage change-t-il le rendu ? Attendre nextTick (souvent 2 fois) avant de lire le DOM,"C4 ADR-005 ADR-005 : aucune lecture eagerly dans le corps de setup() — le resolveur ecrit dans beforeCreate, donc APRES","C5 Emits assertes Les emits declares partent-ils reellement, et un test le prouve-t-il ? Verifier que emit( est bien appele quelque part","C6 Semantique / a11y HTML semantique et a11y : element natif plutot que div, pas d'ARIA redondant, content model respecte, aucun attribut parasite qui fuit",C7 Story + doc Story et doc refletent-elles l'API vivante ? Distinguer la doc ABSENTE de la doc MENSONGERE,"C8 Zero chaine en dur Zero chaine en dur destinee a l'utilisateur, y compris aria-label, placeholder et valeurs par defaut de props","Gravite max Gravite du pire defaut trouve : bloquant = perte de donnees, prop morte, a11y cassee",Statut Ou en est l'inspection de ce composant,Inspecteur,Date,Preuve / lien,Ticket,Notes,"Module cible Module npm installable dans lequel ira ce composant (#14 / ADR-006). A TRANCHER par le mainteneur : l'affectation est une decision, pas une deduction","Dependances inter-familles MESURE : familles dont ce composant consomme un symbole (type, enum, const, interface). Commons exclu. Un tiret = aucune. Ces liens sont ce qui bloque le decoupage en modules","defineProps + interface defineProps<IXxxProps>() typé par générique, interface I-préfixée rangée dans src/interfaces/**","defineEmits + interface defineEmits<IXxxEmits>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun emit relais atteignable","defineSlots + interface defineSlots<IXxxSlots>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun <slot> dans le template, OU si les slots sont forwardes dynamiquement (v-for sur $slots) : un critere techniquement impossible a satisfaire ne s'applique pas. Cas OrigamChart et OrigamContextualMenu — passthroughs transparents ou typer defineSlots casse la compilation (TS7053) ou ment sur la surface acceptee.",Remarque,col24,col25
OrigamColorPickerCanvas,ColorPicker,5.0,conforme,conforme,conforme,conforme,conforme,defaut,conforme,conforme,mineur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"disabled=true bloque bien le clavier, mais attributes('aria-disabled') vaut undefined que disabled soit true ou false, sur un element role=application focusable",#402,"C6 : aria-disabled absent sur un widget role=application interactif desactive — un lecteur d'ecran atteint un element focusable sans indication qu'il est inerte. Le clavier est en revanche complet et correct : les 8 touches de navigation emettent bien, avec bornage et preventDefault.",,—,conforme,conforme,conforme,,,
OrigamColorPickerEdit,ColorPicker,5.0,conforme,defaut,conforme,conforme,conforme,defaut,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"lignes 172/178/179 : border 1px solid rgba(163,163,163), background rgba(255,255,255), color rgba(0,0,0,.5) — zero var(--origam-), zero entree correspondante dans color-picker.json",#402,"C2 : trois couleurs codees en dur dans les champs RGB/HSL/HEX — en mode sombre ce sont trois rectangles blancs. Seul endroit de la famille a rompre la regle zero couleur en dur. C6 : le bouton de cycle de mode est icon-only, sans aria-label ni texte, et OrigamBtn n'a aucun repli qui fabriquerait un nom depuis l'icone.",,—,conforme,conforme,conforme,,,
OrigamColorPickerPreview,ColorPicker,5.0,conforme,conforme,conforme,conforme,conforme,defaut,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,disabled est bien binde sur les 2 origam-slider-field mais JAMAIS sur le bouton pipette juste en dessous ; ce bouton n'a ni aria-label ni texte,#402,"C6 : disabled s'arrete en chemin — binde sur les deux sliders, absent du bouton pipette. Un selecteur desactive garde donc une pipette active. Le bouton n'a pas pu etre exerce (l'API EyeDropper n'existe dans aucun moteur sans geste natif) mais le defaut est certain par lecture, sans ambiguite.",,—,conforme,conforme,conforme,,,
OrigamColorPickerSwatches,ColorPicker,5.0,defaut,conforme,defaut,conforme,conforme,conforme,conforme,conforme,bloquant,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"ligne 21 : deepEqual(colorHsv, hsva) compare a la FONCTION hsva (definie ligne 78), jamais a son resultat — toujours faux. Swatch rouge clique + colorHsv sur la meme couleur : 0 icone rendue, attendu 1",#401,"BLOQUANT. La coche de selection ne s'affiche JAMAIS, pour aucune couleur, dans aucun etat : hsva est une fonction jamais invoquee. L'utilisateur n'a aucun retour visuel sur la nuance active. Second defaut du meme fichier : disabled est declare et transmis par le parent, mais lu nulle part (0 occurrence) — cliquer emet quand meme. Aucun test existant ne couvre ni le clic ni la coche.",,—,conforme,conforme,conforme,,,
OrigamColorPickerField,ColorPickerField,1.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"closeText/openText : l'aria-label racine bascule bien entre les deux selon l'etat du menu, teste aux deux etats ; readonly=true empeche l'ouverture au clic",-,"Entierement conforme. Une regression suspectee a ete INFIRMEE avant publication : rounded semblait fuir vers le picker enfant malgre l'exclusion documentee, mais un picker monte SEUL sans aucune prop remonte deja rounded=lg par le theme embarque. La valeur observee etait la sienne, pas une fuite. L'exclusion fonctionne, confirme par density qui ressort undefined.",,"ColorPicker, Form, Menu, TextField, Transition",conforme,conforme,conforme,,,
OrigamCommandPalette,CommandPalette,1.0,conforme,conforme,conforme,conforme,conforme,defaut,conforme,defaut,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"ariaSnapshot() sur le dialogue reel dans Chromium : - dialog: SANS AUCUN NOM, alors que la doc annonce un aria-labelledby pointant vers l'input. Le combobox, lui, porte bien son nom",#404,"C6 : le dialogue n'a aucun nom accessible. Le mecanisme documente (aria-labelledby vers l'input) est bien en place mais ne nomme rien : le nom du combobox vient de son placeholder, et un placeholder ne remonte pas comme nom a l'element referencant. A l'ouverture par Cmd+K, un lecteur d'ecran annonce dialogue, sans plus. Le reste est solide : filtre approximatif, fleches qui sautent les entrees desactivees, .self du clic correct.",,-,conforme,conforme,conforme,,,
OrigamConfirmWrapper,ConfirmWrapper,1.0,conforme,conforme,conforme,conforme,defaut,defaut,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,mount avec id=my-confirm-wrapper : attributes('id') vaut undefined. La racine ne binde aucun :id et useStyle est appele sans le second argument () => props.id,CORRIGE #381 (df0e20e0),"C6 : la prop id est cablee A MOITIE — elle sert bien a deriver messagesId, mais la racine ne la binde pas et useStyle ne la recoit pas. Meme motif que OrigamInput. Un faux positif a ete ecarte au passage : le bloc de messages n'est reference par aucun aria-describedby, mais OrigamMessages porte deja aria-live=polite et role=status, donc le message est bien annonce.",,Label,conforme,conforme,conforme,,,
OrigamContextualMenu,ContextualMenu,1.0,conforme,conforme,defaut,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,openOnClick=true puis false : findComponent(OrigamMenu).props('openOnClick') vaut false dans les DEUX cas. Double verrou — attribut cable en dur ligne 7 ET prop exclue du filterProps ligne 90,"#406, #373","C3 : openOnClick est declaree, heritee d'IMenuProps avec son propre defaut, acceptee sans avertissement — et inerte. Deux verrous independants la neutralisent. A trancher : soit c'est un choix de design et la prop doit sortir du type public, soit c'est un oubli de cablage. Coquille reperee : openOnContextualMenu au lieu de openOnContextMenu rend une exclusion inoperante — sans effet aujourd'hui grace a l'ordre des attributs, mais fragile si quelqu'un les reordonne. W (defineSlots) intentionnellement NON declare malgre des <slot> reels : verifie dans le code (commentaire explicite avant </script>) — ContextualMenu est un passthrough transparent vers OrigamMenu, v-for=""(_, name) in $slots"" relaie N'IMPORTE QUEL slot fourni par le consommateur vers l'enfant, pas seulement ceux de IMenuSlots. Typer defineSlots<IMenuSlots>() sous-documenterait la surface reelle (le consommateur peut passer un nom de slot que IMenuSlots ne liste pas). Deliberer et documente, pas un oubli — ne pas ouvrir de ticket forcant ce typage.",,"Menu, Transition",conforme,conforme,conforme,,,
OrigamCounter,Counter,1.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"mount avec value=42 max=100, sans active — soit exactement l'exemple Basic usage de la doc — rend .origam-counter avec style=display:none. Le composant est INVISIBLE par defaut",#407,"Trois defauts de meme origine. C1 : v-show=active et active n'a AUCUN defaut dans withDefaults, donc undefined, donc display:none — l'exemple Basic usage de la doc rend un composant invisible. La doc annonce un comportement ATTENUE/ALLUME, le code fait un tout ou rien. C7 : la doc decrit donc une mecanique qui n'existe pas. C2 : 7 tokens sur 10 ne sont lus nulle part — color, color-active, color-error, font-weight, letter-spacing, padding-inline, opacity, opacity-active — et ce sont exactement ceux qu'exigerait le comportement annonce. La classe origam-counter--error est bien posee quand value depasse max, mais aucune regle SCSS ne la definit : le depassement est visuellement indetectable. Pourquoi rien ne l'a vu : toutes les Variants de story ET tous les tests e2e initialisent active a true, donc aucun ne reproduit le cas par defaut. Point sain a noter : useStyle recoit bien () => props.id ici, contrairement a ConfirmWrapper.",,Transition,conforme,conforme,conforme,,,
OrigamDataList,DataList,3.0,conforme,conforme,conforme,conforme,conforme,defaut,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,mount avec id=my-data-list : attributes('id') vaut undefined sur le dl racine — useStyle(dataListStyles) est appele sans le second argument () => props.id,CORRIGE #381 (df0e20e0),"C6 : l'id du consommateur n'atteint jamais le dl racine — meme omission que ConfirmWrapper, useStyle appele sans () => props.id. Contraste parlant : DataText et DataTitle, dans la MEME famille, le passent correctement. C'est une omission ponctuelle, pas une convention absente. Tout le reste est conforme et teste : mode=kv rend bien des lignes dt/dd, mode=avatar imbrique bien DataTitle et DataText, et une entree items sous forme d'OBJET est correctement normalisee via Object.values.",,-,conforme,conforme,conforme,,,
OrigamDataText,DataList,3.0,defaut,conforme,defaut,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"mount avec color=primary et hoverColor=danger, puis trigger('mouseenter') : l'attribut style est STRICTEMENT identique avant et apres. grep mouseenter dans le fichier : 0 resultat",#408,"C1/C3 : hoverColor et hoverBgColor sont TOTALEMENT morts. isHover est declare et bien LU dans les computed, mais aucun ecouteur ne le fait jamais passer a true — ni mouseenter, ni mouseleave, ni composable de survol. La branche true du ternaire est inatteignable. Deux props declarees, typees, acceptees sans avertissement, et inertes. L'id, lui, atteint bien le dd racine. Le spec e2e ne teste que via le parent DataList et n'assert jamais sur hoverColor, ce qui explique que le defaut n'ait jamais ete vu.",,-,conforme,conforme,conforme,,,
OrigamDataTitle,DataList,3.0,defaut,conforme,defaut,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Identique a DataText, ligne pour ligne : mouseenter sans aucun changement de style, et 0 occurrence de mouseenter dans le fichier",#408,"Meme defaut que DataText, au caractere pres — meme structure, memes commentaires source, meme isHover orphelin. C'est du copier-coller, donc un seul correctif regle les deux. Portee verifiee : le balayage des composants declarant isHover sans ecouteur ni composable donne trois candidats, dont un FAUX POSITIF (RatingField, qui a son propre mecanisme hoverIndex avec 9 references au survol). Le defaut est confine a ces deux fichiers. L'id atteint bien le dt racine.",,-,conforme,conforme,conforme,,,
OrigamDataTable,DataTable,10.0,conforme,conforme,conforme,conforme,defaut,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,id=my-table atteint bien la racine origam-table ; en-tetes et lignes rendus correctement pour un jeu de donnees simple,CORRIGE #381 (df0e20e0),"Orchestrateur propre : aucun defaut identifie dans son propre cablage, les trois bugs de la famille sont dans les ENFANTS qu'il assemble. L'id du consommateur atteint bien la racine, contrairement a ConfirmWrapper et DataList. C5 : le harnais signale des emits declares jamais emis. mobileBreakpoint et sortAscIcon/sortDescIcon sont d'ANCIENS correctifs deja documentes dans le fichier, non recomptes.",,Table,conforme,conforme,conforme,,,
OrigamDataTableColumnCell,DataTable,10.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Cellule td/th generique, lecture complete et smoke-test : aucune anomalie trouvee",-,"Cellule generique td/th. Lecture complete plus smoke-test, aucune anomalie. Rien a signaler.",,-,conforme,conforme,conforme,,,
OrigamDataTableFooter,DataTable,10.0,conforme,conforme,conforme,conforme,conforme,defaut,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Selecteur Items per page sans nom accessible — deja couvert par #371, non re-mesure",#371,"C6 : le selecteur Items per page n'a pas de nom accessible — deja couvert par #371, non re-mesure ici pour ne pas sur-compter. Le reste de la pagination n'a pas ete exerce en profondeur (changement d'itemsPerPage, navigation multi-pages) : non fait, faute de temps.",,Pagination,conforme,conforme,conforme,,,
OrigamDataTableGroupHeaderRow,DataTable,10.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Toggle de groupe et selection de groupe cables via @click et @update:model-value — comparaison explicite faite avec Row, PAS de motif withModifiers ici",-,"Conforme. Point verifie explicitement : ce composant NE porte PAS le bug withModifiers de Row — son toggle et sa selection de groupe sont cables via @click et @update:model-value, correctement. La comparaison a ete faite volontairement, pour ne pas supposer que le defaut du voisin se propageait.",,-,conforme,conforme,conforme,,,
OrigamDataTableHeaderCell,DataTable,10.0,defaut,conforme,conforme,defaut,conforme,conforme,conforme,conforme,mineur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"sortedItems : findIndex(x => x.key === column.key! + 1) — le +1 porte sur column.key au lieu du resultat. Apres 2 clics en multiSort, le badge affiche litteralement -1",#409,"C1 : le badge de rang du tri multi-colonnes affiche -1. Le +1 est applique a column.key A L'INTERIEUR de la comparaison au lieu du resultat de findIndex, donc la comparaison echoue toujours et findIndex renvoie -1. Mineur en gravite (le tri lui-meme fonctionne), mais visible des qu'un consommateur active multiSort. Correction evidente : findIndex(x => x.key === column.key) + 1.",,-,conforme,conforme,conforme,,,
OrigamDataTableHeaders,DataTable,10.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Delegue proprement vers HeaderCell ou HeadersCellMobile selon mobile ; le bug .some() est deja repare, commentaire source a l'appui",-,"Conforme. Delegue vers HeaderCell ou HeadersCellMobile selon mobile et gere le loader de tri. Un bug .some() a existe ici, il est deja repare et documente par un commentaire source — non recompte comme defaut actuel.",,Progress,conforme,conforme,conforme,,,
OrigamDataTableHeadersCell,DataTable,10.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Delegue aux cellules d'en-tete via filterProps ; meme bug .some() deja repare, commentaire source a l'appui",-,Conforme. Delegue aux cellules d'en-tete via filterProps. Meme bug .some() deja repare et documente — non recompte.,,-,conforme,conforme,conforme,,,
OrigamDataTableHeadersCellMobile,DataTable,10.0,defaut,conforme,defaut,defaut,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"handleAppendCLick appelle selectAll(!allSelected) sans .value — allSelected est un ComputedRef (select.composable.ts:82), donc !objet vaut TOUJOURS false",#409,"C1/C3 : cliquer l'icone tout selectionner en mode mobile ne peut JAMAIS selectionner. selectAll(!allSelected) omet le .value sur un ComputedRef, donc !objet vaut toujours false et selectAll(false) est appele systematiquement. Le meme fichier ecrit pourtant allSelected.value correctement douze lignes plus haut pour choisir l'icone : une ligne sur deux a le .value. Reserve honnete : etabli par lecture, pas par un rendu avant/apres — a confirmer visuellement en trente secondes.",,List,conforme,conforme,conforme,,,
OrigamDataTableRow,DataTable,10.0,conforme,conforme,defaut,conforme,conforme,conforme,conforme,conforme,bloquant,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,handleCheckBoxClick et handleBtnClick appellent withModifiers(...) sans jamais invoquer le handler retourne. aria-selected du tr reste false avant/apres clic ; aria-expanded du chevron reste false,#409,"BLOQUANT. Selectionner une ligne et deployer une ligne — les deux fonctions les plus attendues d'un tableau de donnees — ne marchent JAMAIS par clic direct sur leurs controles. withModifiers() est une fabrique qui retourne un handler enveloppe : sa valeur de retour est jetee, toggleSelect et toggleExpand ne sont jamais appeles. Bug copie-colle dans les deux handlers du meme fichier, un seul correctif repare les deux. Quatrieme occurrence du meme motif Vue apres #397, #401 et le ternaire de DatePicker. L'e2e existant verifie que la colonne de cases est PRESENTE, jamais qu'un clic la fait basculer.",,-,conforme,conforme,conforme,,,
OrigamDataTableRows,DataTable,10.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Orchestration ligne/groupe/skeleton/loading/no-data ; le forwarding de mobileBreakpoint est deja repare, commentaire source a l'appui",-,"Conforme. Orchestration ligne, groupe, skeleton, chargement et etat vide. Le forwarding de mobileBreakpoint a ete repare par le passe, commentaire source a l'appui — non recompte. Non fait faute de temps sur cette famille de 2351 lignes : groupBy au-dela d'un niveau, les slots de personnalisation, la pagination complete et les raccourcis clavier eventuels.",,-,conforme,conforme,conforme,,,
OrigamDatePicker,DatePicker,6.0,defaut,conforme,conforme,defaut,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"mount sans slot, usage normal : findComponent(OrigamDatePickerHeader).exists() vaut false. Le bloc contenant le rendu par defaut est garde par v-if=slots.header, donc rien ne s'affiche sans slot consommateur",#410,"C1/C7 : OrigamDatePickerHeader — le sous-composant concu pour afficher la date choisie et revenir a la vue mois — est structurellement INATTEIGNABLE en usage normal. La logique du slot est inversee : le motif attendu est un repli affiche quand le consommateur ne passe rien, ici le v-if=slots.header produit l'inverse, rien par defaut et quelque chose seulement si un slot est fourni. Le titre du picker reste affiche, donc le haut n'est pas vide, mais la zone enrichie manque systematiquement. Pourquoi rien ne l'a vu : la story ne montre #header qu'avec un contenu PERSONNALISE, le rendu par defaut n'est demontre nulle part, et le spec e2e ne contient pas une seule occurrence du mot header.",,Picker,conforme,conforme,conforme,,,
OrigamDatePickerControls,DatePicker,6.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"Les 4 handlers sont des emissions directes, sans motif withModifiers ni ternaire ; disabled correctement derive au global et par controle sur les 4 boutons",-,"Conforme sur les cinq criteres. Tous les handlers sont des emissions simples et directes, sans aucun des motifs de handler mort rencontres ailleurs dans cette campagne — la comparaison a ete faite explicitement. disabled est correctement derive, au global comme par controle, sur les quatre boutons.",,-,conforme,conforme,conforme,,,
OrigamDatePickerHeader,DatePicker,6.0,defaut,conforme,defaut,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"@click=""!viewModeIsMonth ? handleClickDate : undefined"" — expression non triviale traitee comme instruction inline : elle RETOURNE la reference de fonction sans jamais l'appeler",#410,"C1/C3 : le clic cense ramener a la vue mois est mort. QUATRIEME variante du meme piege Vue apres #397 (cond && handler), #401 (comparaison a la fonction) et #409 (withModifiers non invoque) : ici un ternaire cond ? handler : undefined. Quatre ecritures differentes, une meme cause — une expression valide qui reference une fonction la ou elle devrait l'appeler. Defaut EMPILE sur celui du parent : meme si la garde du slot etait corrigee demain, le header resterait visible mais inerte.",,-,conforme,conforme,conforme,,,
OrigamDatePickerMonth,DatePicker,6.0,defaut,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"mount avec id=my-month : attributes('id') vaut undefined. Et lignes 390/408/423/437 : rgb(255,255,255), rgb(163,163,163), rgb(143,143,143) avec le commentaire TODO make variable for background laisse dans le code","#410, CORRIGE #381 (df0e20e0)","C2 : couleurs codees en dur dans la grille de jours, avec le commentaire TODO make variable for background laisse DEUX FOIS dans du code livre. La grille reste blanc/noir/gris quel que soit le theme, et la selection reste grise meme sous un theme dont la primaire est autre. Ce n'est pas une observation exterieure : un developpeur precedent l'a identifie, ecrit, et le TODO n'a jamais ete resolu. C1 : l'id du consommateur n'atteint pas la racine — useStyle sans son second argument ET aucun :id dans le template.",,"Btn, Transition",conforme,conforme,conforme,,,
OrigamDatePickerMonths,DatePicker,6.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"id atteint bien la racine, contrairement a Month ; selection de mois via btnProps et handleClick, cablage propre sans motif suspect",-,"Conforme. L'id atteint bien la racine, contrairement a Month dans la meme famille — ce qui confirme une omission ponctuelle et non une convention absente. Selection de mois cablee proprement.",,-,conforme,conforme,conforme,,,
OrigamDatePickerYears,DatePicker,6.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"id atteint bien la racine ; scrollIntoView au montage centre l'annee active ; selection propre, aucun motif suspect",-,Conforme. L'id atteint bien la racine. Le scrollIntoView au montage centre correctement l'annee active. Aucun motif de handler mort.,,-,conforme,conforme,conforme,,,
OrigamDatePickerField,DatePickerField,1.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"closeText et openText : l'aria-label racine bascule bien entre les deux selon l'etat du menu, teste aux deux etats ; readonly empeche l'ouverture au clic. C2 re-verifie par le PM : grep sur les litteraux de couleur passes en props donne OrigamDatePickerField.vue:403-404 bgColor rgba(168,168,168,1) et color rgb(255,255,255), bindes directement sur origam-chip ligne 111",#411,"CORRECTION PM : la ligne disait ""entierement conforme"", c'etait faux sur C2. Les chips du mode multiple recoivent une couleur LITTERALE en dur (gris rgba(168,168,168,1) sur blanc), bindee explicitement sur origam-chip. Le resolveur de props de theme donne la priorite a une valeur passee explicitement (getter ligne 583 : if (passedValue !== undefined) return passedValue, AVANT la lecture de defaults) : un theme qui declare 'origam-chip'.bgColor n'atteint donc JAMAIS ces chips, ni en clair ni en sombre. Le canal du theme est bien coupe, c'est exactement ce que C2 surveille. Echappatoire cote consommateur uniquement : chipProps est etale en dernier, donc :chip-props={bgColor:'primary'} corrige au cas par cas — un theme, non. Litteraux IDENTIQUES a ceux d'OrigamSelect lignes 923-924, copier-coller : les deux se corrigent ensemble. Ticket #411. Le reste de l'inspection tient : closeOnSelect, closeText/openText et readonly ont ete exerces aux deux valeurs et se comportent correctement ; les defauts de la famille ColorPicker (#402) sont herites par affichage du picker enfant, deja ticketes ailleurs.",,"DatePicker, Form, Menu, TextField, Transition",conforme,conforme,conforme,,,
OrigamDefaultsProvider,DefaultsProvider,1.0,conforme,conforme,conforme,defaut,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,Cascade testee de bout en bout avec un composant enfant sonde : sans provider l'enfant retombe sur sa propre valeur sans planter ; avec provider il recoit bien color=primary et size=lg ; une prop explicite bat toujours le provider,-,"Entierement conforme. Cinq scenarios exerces au runtime : cascade de base, prop explicite qui bat le provider, disabled sur un provider imbrique qui laisse passer les defauts du parent, scoped qui ne fusionne PAS avec le parent, et absence totale de provider sans crash. Composant headless (rend uniquement son slot), donc C1 et C6 sont N/A au sens strict — marques conformes avec comportement verifie, pas non testes. C4 : le harnais signale scoped, reset, root et disabled lus eagerly. Son fichier de tokens ne contient qu'un commentaire explicite (composant sans chrome propre, present pour la coherence d'ordre des sets) — coherent, pas un defaut. Point de contexte important : le defaut historique ADR-005 sur ce chemin concernait des composants CONSOMMATEURS lisant type/disabled/name eagerly, pas le mecanisme provideDefaults lui-meme, re-teste ici et fonctionnel.",,-,conforme,conforme,conforme,,,
OrigamDialog,Dialog,2.0,defaut,conforme,conforme,conforme,defaut,defaut,defaut,defaut,bloquant,inspecte,agent QA + verifie PM,2026-08-20 / 4d2d3ad3,"mount(OrigamDialog, {modelValue:true, id:'my-dialog', title:'X'}) : le header rendu se reduit a <div class=origam-card-header__title>X</div>, le bouton de fermeture par defaut n'apparait NULLE PART. Verifie par le PM : OrigamCard.vue lignes 67/74/81/88/95 lit slots['header.append'] etc. en notation POINT, OrigamDialog.vue lignes 44/58/72/82/89 fournit #header-append etc. en notation TIRET. document.getElementById('origam-dialog-title-0') retourne null alors que aria-labelledby pointe dessus","#412, #416, #419, #358","BLOQUANT. Deux inspections independantes, reconciliees ici. (1) SLOTS PERDUS : un nom de slot Vue est une correspondance EXACTE de chaine, header-append n'est pas header.append. Les 5 conditions cote Card sont donc toujours fausses. Le #header-append de Dialog est fourni SANS CONDITION et contient le bouton de fermeture : une origam-dialog avec juste modelValue + title n'a AUCUN moyen visuel de fermeture. Restent Echap et le scrim, qui passent par OrigamOverlay. Seul contournement : remplacer le header ENTIER via #header, que Card lit bien ligne 52. Ticket #412. (2) click:outside N'ATTEINT JAMAIS LE CONSOMMATEUR, et le mecanisme est contre-intuitif : IDialogEmits etend IClickOutsideEmits, donc Vue retire onClick:outside de $attrs et le range comme ecouteur de l'instance Dialog ; or grep click:outside dans OrigamDialog.vue = 0 ligne. Si Dialog n'avait PAS declare cet emit, le fallthrough l'aurait fait marcher par accident. Declarer l'emit a coupe le seul chemin qui fonctionnait. Ticket #416, qui pose aussi la question generalisable : combien des 28 composants a emit declare jamais emis sont dans ce cas. (3) PROP MORTE : la classe origam-dialog--scrollable est emise ligne 356 et AUCUNE regle SCSS ne la cible dans tout le depot (grep verifie par le PM). Ticket #419. (4) aria-labelledby pointe vers un id que rien ne porte : pas de nom accessible pour un dialogue ouvert avec un simple title, meme famille que #404. (5) C7 : OrigamDialog.md n'a AUCUNE section Props pour une vingtaine de props exposees, et story + doc affirment toutes deux que click:outside fonctionne. POURQUOI CA A SURVECU : la story fournit son PROPRE bouton Close avec du texte visible, l'e2e cherche un .origam-btn contenant Close et matche donc ce bouton de story, et le describe Events - click:outside ne teste que la fermeture visuelle, effet de bord d'OrigamOverlay independant de l'emit relaye. Trois artefacts affirment que ca marche, aucun ne le verifie.",,"Card, Overlay, Transition",conforme,conforme,conforme,,,
